timeline_id,categories_id 
WCTM10000001,1
WCTM10000001,2
WCTM10000001,3
WCTM10000001,4
WCTM10000001,WCCAT20000005
WCTM10000001,WCCAT20000006
WCTM10000001,5
WCTM10000001,6
WCTM10000002,7
WCTM10000002,WCCAT20000003
WCTM10000002,8
WCTM10000002,9
WCTM10000002,WCCAT20000006
WCTM10000002,WCCAT20000007
WCTM10000002,WCCAT20000008
WCTM10000002,WCCAT20000017
WCTM10000003,WCCAT20000002
WCTM10000003,WCCAT20000003
WCTM10000018,WCCAT20000013
WCTM10000018,WCCAT20000014
WCTM10000019,WCCAT20000002
WCTM10000019,WCCAT20000003
WCTM10000019,WCCAT20000009
WCTM10000019,WCCAT20000005
WCTM10000019,WCCAT20000010
WCTM10000019,WCCAT20000011
WCTM10000019,WCCAT20000012
WCTM10000019,WCCAT20000013
WCTM10000019,WCCAT20000014
WCTM10000019,WCCAT20000015
WCTM10000019,WCCAT20000016
WCTM10000020,WCCAT20000002
WCTM10000020,WCCAT20000003
WCTM10000020,WCCAT20000009
WCTM10000020,WCCAT20000005
WCTM10000020,WCCAT20000010
WCTM10000020,WCCAT20000011
WCTM10000020,WCCAT20000012
WCTM10000020,WCCAT20000013
WCTM10000020,WCCAT20000014
WCTM10000020,WCCAT20000015
WCTM10000020,WCCAT20000016
